Freq_Hz_,S11_DB_,S11_DEG_,S12_DB_,S12_DEG_,S21_DB_,S21_DEG_,S22_DB_,S22_DEG_
300000000,-14.033483,-147.98569,-89.959251,-3.9145565,-72.838867,-47.872498,0.0007180174,-0.26454476
301000000,-14.069633,-149.13223,-75.496735,0.52307945,-83.336632,-42.202473,-0.01243217,-0.18294907
302000000,-14.104961,-150.24208,-74.777733,142.96675,-67.598793,-2.0507634,0.0032148825,-0.16621965
303000000,-14.144376,-151.48283,-69.00531,-1.1646237,-80.216965,-127.96193,-0.0048138332,-0.20805401
304000000,-14.193966,-152.53098,-68.975372,74.794067,-72.843201,126.53042,0.00030544368,-0.23933576
305000000,-14.240918,-153.87479,-74.838852,-165.97704,-67.189117,-158.35797,0.0089989873,-0.22973494
306000000,-14.267245,-154.69418,-64.330795,-97.913445,-76.39856,-97.918594,0.0084352875,-0.23592524
307000000,-14.269557,-156.06584,-68.05233,112.73155,-79.083473,-24.26693,0.0098988945,-0.15433717
308000000,-14.324815,-157.2471,-68.151268,94.962692,-75.145226,159.46196,-0.0020692996,-0.24596067
309000000,-14.351311,-158.31648,-70.017204,133.17854,-79.33886,9.5127125,0.0017381537,-0.25465703
310000000,-14.372636,-159.40396,-66.015762,127.72185,-67.47554,-73.444618,-0.00042247956,-0.24065022
311000000,-14.398626,-160.88141,-75.008057,170.6167,-71.861885,81.079887,0.0013401686,-0.24429087
312000000,-14.435822,-162.10658,-83.160637,59.685535,-66.909485,68.700981,-0.0096563566,-0.25852391
313000000,-14.455385,-163.13069,-68.25737,-28.369473,-68.459213,14.65076,0.0030125992,-0.16799535
314000000,-14.450748,-164.423,-70.875748,-32.619648,-69.452621,-99.469482,-0.0024052134,-0.20769058
315000000,-14.469458,-165.48584,-77.458351,9.6695299,-63.104324,-61.806541,-0.0084055373,-0.24079117
316000000,-14.499467,-166.78336,-65.719162,153.57014,-75.62941,88.378265,0.0083040399,-0.24566627
317000000,-14.505904,-167.99118,-64.625381,100.9536,-65.980362,-140.2912,-0.0035193288,-0.21097657
318000000,-14.488726,-169.06973,-75.56456,24.752146,-70.212242,42.583591,-0.0015060479,-0.18009581
319000000,-14.49912,-170.4521,-70.73996,-171.03311,-70.769058,131.57684,-0.005306758,-0.22146811
320000000,-14.524451,-171.6407,-75.718628,-143.15314,-69.395851,77.38401,0.0057191025,-0.24713039
321000000,-14.528413,-172.82185,-66.868408,81.820717,-71.480659,172.744,0.00046644011,-0.23620412
322000000,-14.514009,-173.9579,-68.373489,-119.32504,-70.897522,-51.854523,0.0085086608,-0.22230428
323000000,-14.525822,-175.41563,-66.564331,-33.938263,-64.780518,-66.316483,0.0026007609,-0.2502318
324000000,-14.478409,-176.76534,-70.817017,50.726086,-73.787941,-27.909666,0.012492187,-0.18848476
325000000,-14.510895,-177.8521,-64.310692,-107.76716,-75.683823,-95.078712,-0.011476422,-0.19707765
326000000,-14.491313,-179.10153,-68.895477,151.67967,-69.993118,-9.537303,0.0056053526,-0.24434671
327000000,-14.476153,179.80974,-67.511108,-94.562408,-66.236427,-157.00325,0.0031605619,-0.23530555
328000000,-14.465528,178.49944,-64.242653,6.0755787,-63.322433,-175.0697,0.0064863195,-0.19656813
329000000,-14.439511,177.46205,-76.511871,-158.24438,-69.868126,15.525763,0.0075510987,-0.21457382
330000000,-14.456279,176.17291,-67.374321,-7.5052185,-77.864563,83.765472,0.0025997262,-0.20124294
331000000,-14.40439,175.04839,-82.746986,108.65038,-67.111481,-140.77852,0.0065984954,-0.29689577
332000000,-14.369465,173.64493,-71.611427,40.884224,-73.654633,131.6432,-0.010181746,-0.2186178
333000000,-14.37496,172.55762,-80.570984,-146.58565,-73.60614,-42.416008,0.0010213403,-0.22844806
334000000,-14.373923,171.41115,-72.538605,39.378567,-77.682159,134.30984,0.013132785,-0.26188904
335000000,-14.33707,170.30518,-70.733505,-85.843796,-69.328423,-68.962669,-0.0084107239,-0.33475587
336000000,-14.294745,169.13177,-64.71656,163.62465,-77.481949,-134.99719,0.0029841445,-0.23147474
337000000,-14.262746,168.04834,-69.262863,53.247547,-67.732956,-82.73745,0.0095961904,-0.26237264
338000000,-14.226707,166.70288,-75.689804,-172.68756,-76.236496,-177.11754,0.0054000784,-0.21316107
339000000,-14.199532,165.64734,-75.100395,-176.91647,-67.95755,-120.15302,-0.006741276,-0.21407445
340000000,-14.172141,164.71571,-80.341805,67.919342,-71.456512,-35.070839,0.00058550114,-0.23829676
341000000,-14.138652,163.57764,-69.349968,-34.469151,-66.459717,176.87856,0.0077392175,-0.25053933
342000000,-14.045485,162.6442,-75.565048,149.86812,-68.732414,-77.09819,0.0089798709,-0.29173449
343000000,-14.032418,161.39955,-69.610962,-109.37476,-82.685539,109.85641,-0.0023803492,-0.21302246
344000000,-13.974954,160.06622,-66.273659,-107.28341,-74.097412,8.7698832,0.0036137304,-0.27939925
345000000,-13.928985,159.20493,-67.820961,110.70918,-72.036301,-105.38621,-0.0056188176,-0.26727861
346000000,-13.884341,158.18263,-65.104919,131.36678,-71.115982,46.004402,0.0048416005,-0.29784092
347000000,-13.847259,157.2177,-66.896866,94.413322,-71.666626,116.81189,0.0014788724,-0.21796939
348000000,-13.776358,156.30478,-64.017761,116.62645,-65.188614,45.064793,0.0034394006,-0.28175011
349000000,-13.720454,155.38699,-64.73233,38.830292,-68.002449,87.709312,0.0035583803,-0.25119418
350000000,-13.637124,154.47337,-69.749931,124.97137,-78.913216,117.96054,0.00307313,-0.21038805
351000000,-13.558283,153.64369,-70.552231,-174.84642,-70.064713,-170.2216,-0.0040286891,-0.29090926
352000000,-13.478092,152.49471,-69.982025,26.950516,-73.521049,67.117294,-0.0028318125,-0.25735921
353000000,-13.397796,151.41107,-71.184738,-103.34013,-70.208282,-15.209882,0.0011227882,-0.20283082
354000000,-13.338383,150.13437,-64.833252,-135.58879,-72.076591,86.236778,0.0039365068,-0.26172268
355000000,-13.260778,149.19258,-76.193794,-85.647141,-67.830238,169.14333,-0.00209468,-0.22329232
356000000,-13.190469,148.1387,-70.576317,24.198677,-64.410339,-86.902069,0.0046228436,-0.20197769
357000000,-13.092087,147.15355,-84.595734,29.332104,-71.705612,64.589142,0.012323892,-0.28448445
358000000,-13.001449,146.07613,-70.089432,-124.25182,-68.298264,-174.10292,0.011717253,-0.24980262
359000000,-12.900084,144.96944,-75.568947,150.07602,-70.292847,140.83942,0.00038413078,-0.29066744
360000000,-12.840675,143.78551,-76.50074,-153.13838,-68.089691,-165.16721,0.0045421645,-0.24381468
361000000,-12.791263,142.73268,-68.118774,-45.898491,-70.417671,-8.7234612,0.0019813776,-0.24516656
362000000,-12.711452,141.46353,-74.91568,38.659893,-65.652046,-177.17751,0.011159071,-0.23997486
363000000,-12.67427,140.48062,-77.258713,135.05518,-74.068985,103.286,-0.0060247355,-0.2399084
364000000,-12.595226,139.19133,-69.561562,-155.20735,-77.466408,28.814823,-0.001772774,-0.15590718
365000000,-12.536991,138.4364,-65.779716,-117.6254,-77.411469,130.4955,-0.0029406059,-0.24146304
366000000,-12.506846,137.27417,-74.121658,117.09141,-69.21875,-49.881638,0.012357448,-0.25179583
367000000,-12.426744,136.3828,-74.100586,149.57526,-78.646996,-4.1153803,0.0074301613,-0.26203543
368000000,-12.393824,135.59135,-69.94799,-64.586792,-59.620094,-133.52866,0.01241217,-0.23055011
369000000,-12.324494,134.43216,-82.433044,141.39445,-65.681549,-79.253616,-0.0012994112,-0.28848839
370000000,-12.264647,133.59964,-71.752396,141.14507,-67.917358,-131.08293,0.0033054154,-0.21991126
371000000,-12.205534,133.02855,-67.573357,54.12952,-69.33316,48.111401,0.0063317493,-0.29120576
372000000,-12.135962,131.82741,-68.29966,165.81728,-78.342743,-174.64058,-2.5885977e-06,-0.30247977
373000000,-12.065298,131.0246,-76.578064,128.73386,-78.892174,173.64786,-0.005881649,-0.26054749
374000000,-12.008561,130.00977,-75.694092,19.273176,-70.829445,-49.793953,0.0057149664,-0.27680868
375000000,-11.953689,129.21466,-72.391678,70.486252,-71.598076,-119.53984,0.0089421552,-0.20065933
376000000,-11.919008,128.34048,-66.057358,-71.834213,-74.018341,-108.20048,0.0034937179,-0.22190949
377000000,-11.828389,127.56896,-72.429474,163.0257,-62.537262,-40.657001,0.0085773822,-0.24166165
378000000,-11.785666,126.62721,-84.223022,-158.09288,-70.233528,-100.23931,-0.0015837334,-0.29017496
379000000,-11.70063,125.80466,-70.016823,15.196601,-72.387817,94.561378,0.0032604078,-0.2367537
380000000,-11.664705,124.91267,-70.309532,-96.897072,-70.505356,146.56349,0.011168365,-0.2754173
