Freq_Hz_,S11_DB_,S11_DEG_,S12_DB_,S12_DEG_,S21_DB_,S21_DEG_,S22_DB_,S22_DEG_
300000000,-14.250913,-140.49405,-75.538666,-97.67794,-79.466156,-3.5245712,-0.0060693212,-0.24015911
301000000,-14.290323,-141.37914,-70.194885,-149.82532,-67.28598,27.550621,-0.0089590494,-0.25121972
302000000,-14.349461,-142.50279,-74.978699,94.731201,-78.175301,-157.3149,-0.0035669978,-0.12595098
303000000,-14.372998,-143.40378,-85.671799,-139.56494,-64.121506,-73.334198,0.0041242642,-0.25610524
304000000,-14.438659,-144.8394,-81.799385,-43.671234,-64.689873,-121.67357,0.0064480649,-0.13225901
305000000,-14.479819,-145.7233,-70.81662,-168.50743,-69.734238,-14.565932,0.012943867,-0.2910336
306000000,-14.513735,-146.82651,-70.281044,-124.48949,-71.342529,-64.947624,-0.0035934232,-0.21824107
307000000,-14.534657,-148.17371,-69.007507,2.2813711,-71.404678,-85.965668,3.5722489e-05,-0.17642303
308000000,-14.635424,-149.43054,-68.053192,135.82112,-79.26255,89.638046,0.0095832767,-0.23317946
309000000,-14.680609,-150.397,-68.292076,-177.54237,-77.11808,-114.36768,-0.0027893321,-0.28528565
310000000,-14.690438,-151.66106,-67.27623,-144.72574,-72.388138,5.3914347,0.0026369793,-0.26960233
311000000,-14.735643,-152.83151,-66.584496,-175.84883,-69.46048,-59.805779,-0.0031506883,-0.27798304
312000000,-14.768379,-154.0464,-68.152344,-143.89188,-70.055946,133.52466,-0.0019859078,-0.24601552
313000000,-14.799122,-155.39563,-74.789589,-106.17912,-70.587784,31.391983,0.0036556306,-0.19677043
314000000,-14.840252,-156.73608,-65.656441,-89.900696,-76.683022,-92.424431,-0.0087403851,-0.1889683
315000000,-14.864367,-157.77042,-69.065117,47.233765,-74.566162,-147.31503,-0.010455493,-0.26106596
316000000,-14.873239,-159.12126,-63.034443,113.47068,-80.442558,150.47552,0.013781544,-0.24301206
317000000,-14.911098,-160.44772,-65.341583,32.456448,-62.512032,174.74406,-0.017330242,-0.2372352
318000000,-14.942152,-161.45322,-66.677979,-43.03685,-66.709946,-167.61647,-0.0016992284,-0.24555141
