Freq_Hz_,S11_DB_,S11_DEG_,S12_DB_,S12_DEG_,S21_DB_,S21_DEG_,S22_DB_,S22_DEG_
300000000,-9.9828291,-125.11871,-65.421082,-173.72592,-64.956055,-34.921143,-0.001949392,-0.23157893
301000000,-10.002198,-125.88674,-78.2771,-160.29396,-70.27639,124.3723,-0.0076187067,-0.2207614
302000000,-10.028279,-126.7178,-73.563072,-30.582098,-68.256676,74.306549,0.0075464477,-0.16453649
303000000,-10.072118,-127.55381,-70.34156,69.371803,-73.651382,90.510925,-0.0040232483,-0.22797152
304000000,-10.11438,-128.3764,-71.017189,-83.481506,-71.944435,30.46443,-0.0061908979,-0.18859501
305000000,-10.178039,-129.18306,-79.818069,67.106766,-78.035904,44.496422,0.0066941269,-0.23960002
306000000,-10.189232,-129.90099,-79.570778,162.35072,-68.636032,179.48235,0.0054238639,-0.22037639
307000000,-10.234351,-130.80202,-66.937386,160.41397,-65.648262,35.700073,0.0026240442,-0.15707761
308000000,-10.284189,-131.71648,-67.706329,155.9505,-67.998123,100.41359,0.0040601278,-0.27706921
309000000,-10.313072,-132.42679,-75.631767,-30.117443,-71.485764,-86.053841,0.0011077782,-0.26365787
310000000,-10.335974,-133.4128,-85.254601,-73.589218,-78.414871,93.939178,0.0020988449,-0.22124521
311000000,-10.39349,-134.29271,-71.986305,-63.969395,-69.588699,71.323021,-0.0076817204,-0.26780528
312000000,-10.407232,-134.9431,-65.355453,69.219788,-64.010658,135.18974,-0.0078432783,-0.21607222
313000000,-10.462857,-135.90744,-72.506516,-109.48778,-68.607918,58.412811,0.00075632212,-0.18610679
314000000,-10.482585,-136.9142,-74.507401,8.0496874,-71.694031,57.421974,-0.0046088528,-0.19080558
315000000,-10.510885,-137.7722,-68.696152,56.478096,-75.81813,-112.43004,-0.0085468916,-0.16986848
316000000,-10.552253,-138.56053,-71.003876,14.783373,-61.647728,-107.81425,0.0016972701,-0.24287236
317000000,-10.576029,-139.54745,-75.180328,35.821537,-63.258652,19.241793,-0.0092163756,-0.2278942
318000000,-10.600513,-140.32465,-69.86702,15.49606,-69.801826,-32.236862,0.0031916024,-0.16279857
319000000,-10.64389,-141.44214,-71.441986,-107.95446,-71.709518,18.819546,-0.0087118531,-0.24724536
320000000,-10.702726,-142.33609,-74.92128,-61.533119,-74.194077,-79.013702,0.0034926832,-0.24531585
321000000,-10.703468,-143.29932,-73.439034,-46.494789,-68.796242,15.714302,0.00033391616,-0.21916862
322000000,-10.733868,-144.10666,-71.540031,-83.073067,-73.887314,100.56507,0.0096550798,-0.28236729
323000000,-10.784345,-144.98299,-69.040878,-20.72205,-82.591919,-177.32477,-0.0028149758,-0.24521057
324000000,-10.806809,-146.04712,-68.156509,-45.483688,-65.955879,117.74125,0.0053209648,-0.20028397
325000000,-10.828612,-146.95401,-74.964378,-99.936302,-63.488758,25.892952,-0.015820256,-0.18167584
326000000,-10.837257,-147.75888,-64.199028,49.776936,-69.137833,81.584419,0.0065318104,-0.23329638
327000000,-10.890343,-148.73212,-72.085709,-54.078247,-69.610985,-42.071648,-0.0016717787,-0.22462897
328000000,-10.885649,-149.75383,-79.796738,-38.558807,-71.43705,-23.936872,0.011164235,-0.24996988
329000000,-10.922862,-150.6469,-78.108063,-133.937,-73.895905,-90.552071,0.013766577,-0.23531333
330000000,-10.931364,-151.62282,-66.246071,37.522648,-96.685799,-12.206205,0.0084730079,-0.22536813
331000000,-10.979332,-152.49748,-73.968773,-73.088959,-73.77816,135.99466,0.012691964,-0.25994065
332000000,-10.988358,-153.75183,-68.807457,-169.88002,-63.425896,-11.413199,0.0066015967,-0.23565425
333000000,-10.997935,-154.43697,-73.494087,-173.76181,-69.509834,-121.59914,0.011894865,-0.26278707
334000000,-11.026175,-155.46194,-66.731529,-45.123096,-66.801735,74.871208,0.017888622,-0.27171266
335000000,-11.045043,-156.56017,-63.656319,62.511414,-67.101364,45.179771,0.005739267,-0.29281431
336000000,-11.053905,-157.43549,-75.167107,52.539658,-66.518661,-168.36377,0.01556062,-0.26005
337000000,-11.053506,-158.42488,-76.801765,-155.9557,-65.387245,-171.55301,0.00056220684,-0.25192457
338000000,-11.076775,-159.53981,-91.896393,-110.46341,-69.872406,-22.855438,0.0037585688,-0.22092474
339000000,-11.092065,-160.38731,-73.581963,-15.871037,-78.099297,-148.98386,-0.00056849309,-0.25805208
340000000,-11.071054,-161.42728,-70.340759,75.933685,-84.431007,112.16937,0.0016180893,-0.21994972
341000000,-11.089499,-162.49556,-66.054123,-22.005312,-75.677956,104.36707,0.01923153,-0.2381248
342000000,-11.064296,-163.45482,-78.690147,52.070908,-77.381889,175.80243,-0.0040374985,-0.27290511
343000000,-11.081926,-164.71355,-68.866783,88.892761,-67.453247,-151.42815,-0.0038447322,-0.22092688
344000000,-11.099569,-165.69069,-74.131325,-138.36484,-71.505066,-39.677311,0.0071004084,-0.26175022
345000000,-11.097846,-166.76024,-84.499809,-60.305969,-80.001198,66.06031,0.0016625964,-0.26649681
346000000,-11.105212,-167.79234,-68.483559,173.88911,-63.548065,124.44337,0.0079945074,-0.2923438
347000000,-11.103132,-168.82484,-69.648056,-54.716213,-66.368507,104.22813,0.0049491646,-0.23032676
348000000,-11.093861,-169.87059,-77.542206,6.9515519,-72.202324,-169.4194,0.0051234337,-0.29150397
349000000,-11.085089,-170.92381,-81.258171,-10.334469,-69.01313,-19.558695,0.004719553,-0.29004976
350000000,-11.069193,-172.31693,-64.882408,85.055435,-66.489052,156.89229,0.0024926211,-0.18827853
351000000,-11.072063,-173.17867,-73.755165,-45.58107,-92.172791,-18.116222,-0.0090677366,-0.34654844
352000000,-11.07561,-174.44815,-73.224251,-135.69109,-68.486359,84.994576,-0.00095555623,-0.26277524
353000000,-11.098976,-175.4229,-74.548416,-22.449532,-83.670113,-32.805511,0.0017826596,-0.22034332
354000000,-11.116597,-176.52638,-82.631531,-21.178274,-71.118439,169.92938,0.0087938728,-0.32783297
355000000,-11.105919,-177.49136,-71.644035,36.990028,-66.06076,93.68364,-0.012523551,-0.21947019
356000000,-11.075649,-178.62552,-67.148979,175.50005,-68.358437,152.72769,0.0043032216,-0.25450248
357000000,-11.06755,-179.69643,-62.323677,-2.814599,-72.122719,-112.75878,0.0042597759,-0.31503636
358000000,-11.067641,179.15004,-71.873619,11.334288,-69.973,46.475796,0.0039484035,-0.23522577
359000000,-11.05629,177.92278,-71.944069,11.815166,-80.61129,-4.5275722,0.0062386948,-0.25420141
360000000,-11.079462,176.90556,-72.36264,149.94032,-68.958534,-87.22673,0.0020486501,-0.26806024
361000000,-11.074483,175.84387,-71.419983,-38.543121,-64.116951,-178.60905,-0.0073736617,-0.22863886
362000000,-11.06389,175.00481,-77.047653,33.900436,-66.409103,34.042389,0.016443696,-0.17191137
363000000,-11.074433,173.95103,-72.47303,-113.50777,-71.593231,-158.88753,0.0010596423,-0.26789099
364000000,-11.060951,172.69449,-78.356598,134.78531,-65.624374,159.12906,0.010102923,-0.18113272
365000000,-11.052761,171.83951,-73.712349,77.366005,-72.142754,2.2360506,-0.0020553144,-0.26519796
366000000,-11.038077,170.97256,-73.399963,-33.535995,-68.581345,85.371239,0.0079366295,-0.27866909
367000000,-11.030605,169.90736,-68.582932,105.53365,-70.255455,-39.46682,0.0056979042,-0.23626241
368000000,-10.997492,168.82626,-69.716179,-164.6468,-85.913956,-72.714714,0.0026804414,-0.2342141
369000000,-10.986869,167.78241,-65.65461,82.434799,-75.766571,154.07605,-0.005230302,-0.30111739
370000000,-10.976046,166.6413,-76.287094,-0.059344627,-81.726257,-49.657211,0.0050396612,-0.26292929
371000000,-10.955392,165.86922,-64.436134,-118.5683,-68.527542,-13.972532,0.010275953,-0.31805494
372000000,-10.940021,164.78395,-70.704262,-131.89478,-68.504219,15.660295,0.012682673,-0.29602841
373000000,-10.91275,163.71364,-67.30751,-58.020306,-75.471611,-159.12326,0.00092610117,-0.26623896
374000000,-10.888377,162.64142,-71.341179,-148.72223,-81.986786,108.96884,0.002379304,-0.30010426
375000000,-10.913417,161.88216,-69.356606,-140.00453,-77.104645,-1.8633872,0.0042846021,-0.25653401
376000000,-10.870138,160.93256,-76.353195,-42.974319,-76.872925,134.13193,-0.0057357159,-0.24102814
377000000,-10.863235,159.95099,-72.428635,-178.68039,-73.995216,-74.989304,0.006606766,-0.23867933
378000000,-10.826464,159.04253,-72.291016,64.323166,-68.627251,-40.96368,0.007134005,-0.30750346
379000000,-10.805923,157.9839,-66.750755,-34.846867,-69.675407,-162.35397,-0.0078863269,-0.23778413
380000000,-10.767797,157.16956,-69.758324,19.272985,-75.169228,-138.28099,0.013355758,-0.29489344
381000000,-10.745746,156.29749,-81.779785,-105.09824,-68.121269,-99.313667,0.0077950312,-0.24737646
382000000,-10.71275,155.34113,-69.632195,7.5454969,-67.221474,-169.1133,0.0069546476,-0.1240309
383000000,-10.67869,154.31776,-67.020859,116.95898,-67.985199,-30.273952,0.0056829099,-0.1977006
384000000,-10.647121,153.41138,-78.948669,-67.208778,-67.823708,-116.91759,-0.0013809771,-0.22645266
385000000,-10.630885,152.36862,-70.192696,129.66972,-74.815178,129.78375,0.0017831771,-0.23358901
386000000,-10.592793,151.62361,-77.906693,96.897202,-71.250198,118.65,0.0033199005,-0.26644552
387000000,-10.556269,150.70126,-82.540741,144.64786,-74.727409,76.765953,0.0052072047,-0.24807987
388000000,-10.528485,149.869,-72.304237,-30.832663,-77.267776,-156.54616,0.0014695566,-0.2599566
389000000,-10.48923,148.89037,-68.337631,-103.34933,-69.709488,-179.68257,0.0052547776,-0.19067265
390000000,-10.430873,148.15312,-67.473831,120.80733,-76.200867,130.55698,-0.0051136762,-0.2337922
391000000,-10.387981,147.14059,-66.778893,-72.419357,-70.250038,-4.2564764,0.0065364628,-0.28908652
392000000,-10.362701,146.20059,-80.075035,134.83904,-77.605049,-44.316658,0.0092888167,-0.26822579
393000000,-10.32009,145.30528,-76.938347,-43.028831,-72.971649,15.250476,-0.0091849873,-0.23418385
394000000,-10.294512,144.43555,-71.564774,-138.61478,-74.140411,98.599258,-0.0083373254,-0.18314996
395000000,-10.254256,143.50238,-66.482376,-140.64162,-75.963448,-95.681152,0.0077836616,-0.19087304
396000000,-10.203139,142.67749,-71.348251,19.284943,-77.350662,53.0014,-0.0076334877,-0.18274632
397000000,-10.179733,141.86266,-72.836021,131.72598,-70.429047,103.36887,0.0080926921,-0.2395934
398000000,-10.131917,140.98161,-78.47863,-142.22662,-68.597717,-56.908051,-0.0088983513,-0.23330267
399000000,-10.081251,140.13332,-75.715279,140.29735,-66.160408,67.667915,-0.0069450606,-0.28535634
400000000,-10.053097,139.44472,-70.604889,137.15985,-69.947609,132.4238,0.0030322589,-0.22904103
401000000,-9.9919147,138.49557,-68.797501,-149.67383,-72.685738,-15.417571,0.0084730079,-0.24804462
402000000,-9.9346275,137.70305,-81.841522,0.063396409,-69.012993,164.08708,-0.0059373793,-0.21463218
403000000,-9.9135246,136.86252,-67.470398,166.03954,-75.383163,-132.70488,-0.0040141796,-0.19704677
404000000,-9.8517771,136.05545,-82.595451,-171.52156,-69.795181,154.1329,-0.0013014827,-0.19115646
405000000,-9.8260336,135.22629,-71.49575,-164.38821,-65.541313,120.48522,-0.006731424,-0.15689337
