Freq_Hz_,S11_DB_,S11_DEG_,S12_DB_,S12_DEG_,S21_DB_,S21_DEG_,S22_DB_,S22_DEG_
300000000,-13.017406,-159.98563,-69.026421,-171.33937,-76.962631,6.7640829,0.0011315871,-0.21636981
301000000,-13.074869,-161.23445,-64.404488,-41.456234,-75.855515,-21.437328,-0.016931061,-0.19347341
302000000,-13.059048,-162.49319,-71.060265,144.40085,-65.940201,81.412834,0.0039990935,-0.15350118
303000000,-13.082491,-163.58266,-73.288216,-84.163429,-73.771027,50.151188,0.0033059327,-0.20999667
304000000,-13.108428,-164.84146,-70.207207,21.211811,-76.861053,29.475183,0.0051596314,-0.21704255
305000000,-13.111761,-166.11876,-76.509651,163.28436,-70.186867,75.189758,0.0014990566,-0.27284902
306000000,-13.125404,-167.27563,-64.35434,15.485059,-65.729233,89.89975,-0.006092133,-0.1822833
307000000,-13.108464,-168.36797,-65.044823,-154.24561,-74.761566,77.06395,0.0035133753,-0.16765614
308000000,-13.12096,-169.76112,-71.861305,-121.78923,-71.10952,141.90993,-0.00046649019,-0.20069069
309000000,-13.172846,-170.74605,-72.553574,-145.36284,-71.172562,-98.766586,-0.0041838931,-0.20592566
310000000,-13.141047,-172.22411,-70.007339,-21.706633,-71.374382,147.976,-0.0082232105,-0.24335158
311000000,-13.158086,-173.30644,-64.950043,27.785095,-73.100166,39.209431,-0.0004815057,-0.21861798
312000000,-13.136502,-174.53278,-70.145409,179.85481,-67.491302,-55.241131,-0.010410083,-0.25032312
313000000,-13.149858,-175.70599,-78.310585,151.91167,-66.350914,-79.296822,0.00049957045,-0.16957726
314000000,-13.135315,-176.97845,-83.088142,-98.666115,-71.443008,7.2008371,-0.0066912388,-0.25316721
315000000,-13.130098,-178.25378,-75.836967,107.36337,-74.188118,-70.322639,-0.005025561,-0.26207662
316000000,-13.137547,-179.39163,-76.12178,-154.3506,-66.822655,-88.484276,0.0048695258,-0.29204836
317000000,-13.120674,179.40161,-69.850479,-102.99331,-65.573418,-45.614532,0.00030078454,-0.23670122
318000000,-13.093317,178.25627,-70.453842,-72.776192,-78.448433,145.30521,-0.0072676092,-0.24826895
319000000,-13.093091,177.03569,-78.879044,140.10703,-68.709854,36.46085,0.0053768097,-0.21531312
320000000,-13.085171,175.79254,-75.269089,-76.937721,-66.804276,-72.618881,0.008623885,-0.23022519
321000000,-13.051184,174.52507,-69.392731,-39.539913,-72.306145,165.91306,0.0038723671,-0.2193311
322000000,-13.085679,173.5414,-64.88308,-145.53131,-71.291191,-100.40052,-0.00012296009,-0.24009721
323000000,-13.046231,172.25787,-68.488083,-77.914513,-65.153839,103.39259,0.0012558056,-0.26565179
324000000,-13.001529,170.91034,-64.951668,-65.507767,-66.084457,114.93388,0.0095305853,-0.23306404
325000000,-12.98426,169.83769,-64.625565,-131.80772,-67.39415,160.90309,-0.0054057646,-0.23363093
326000000,-12.958798,168.82813,-65.790596,177.45628,-73.107376,-127.04846,0.0082818214,-0.22572792
327000000,-12.962431,167.65936,-64.186775,-88.886292,-66.788261,-130.04112,-0.001386156,-0.1804195
328000000,-12.929271,166.59642,-67.972,-127.27429,-77.378479,-112.55285,0.0029634498,-0.30059788
