Freq_Hz_,S11_REAL,S11_IMAG
300000000,35.4569973677807,-24.1766045649901
301000000,35.4019094033304,-23.8295311214986
302000000,35.2298300454614,-23.4678601495659
303000000,35.2059635585043,-23.1391291825013
304000000,35.108322536091,-22.7994357916979
305000000,35.0746641390101,-22.44733498427
306000000,34.9234353316993,-22.1754050124756
307000000,34.8521962826696,-21.8079118020097
308000000,34.7938241767182,-21.3725679051099
309000000,34.7664030150703,-21.0725766257416
310000000,34.5939055830909,-20.6966651434142
311000000,34.5769374958105,-20.3398139633825
312000000,34.4919855274037,-20.0357799655679
313000000,34.4515545288809,-19.6570255992827
314000000,34.3849269773337,-19.2954351331549
315000000,34.2854486733798,-18.9654570658794
316000000,34.2336544002061,-18.6115442445649
317000000,34.1560142254962,-18.2750279369536
318000000,34.1336678135587,-17.8983983795445
319000000,34.0798180503644,-17.5864558563102
320000000,34.0142963509677,-17.1880974598846
321000000,33.9623052010613,-16.8632561360211
322000000,33.9406472367783,-16.5133999274095
323000000,33.8522999128462,-16.1585814558223
324000000,33.8138611792997,-15.7521282259824
325000000,33.8028813051236,-15.4181864517733
326000000,33.6804959143796,-15.1095850197493
327000000,33.6804360383199,-14.8277641693157
328000000,33.582758947999,-14.4837992316144
329000000,33.5616120390023,-14.0790815700603
330000000,33.5085870038214,-13.7343148291746
331000000,33.4808684504803,-13.3675083075548
332000000,33.4641540438124,-12.9583072886452
333000000,33.3939802324811,-12.6920052077402
334000000,33.3545906254717,-12.4072710326096
335000000,33.3636480462819,-11.9963874208997
336000000,33.305053930251,-11.6663141736248
337000000,33.2890529687082,-11.3647466743355
338000000,33.2451893768413,-10.9671265816257
339000000,33.206406516555,-10.6631188124352
340000000,33.1047709446302,-10.3043276298424
341000000,33.0776784127705,-9.94099100021901
342000000,33.0355055916386,-9.56368028360023
343000000,33.008371747527,-9.18375628316598
344000000,32.9868586034394,-8.83181817872443
345000000,32.9062514118982,-8.4334993365589
346000000,32.924228609841,-8.1668577160002
347000000,32.8540170014906,-7.74301977983994
348000000,32.7843272878552,-7.46428056048015
349000000,32.7385517986915,-7.07627048321999
350000000,32.7121067560204,-6.64187116262669
351000000,32.7531934700485,-6.27668100618217
352000000,32.7457370031972,-5.83661309209584
353000000,32.8255625512406,-5.51526571197641
354000000,32.7844057190937,-5.21644972956204
355000000,32.7356325171943,-4.83285908216372
356000000,32.7103608875376,-4.48176066042834
357000000,32.6866439624173,-4.05078205994206
358000000,32.710911806148,-3.63184629010253
359000000,32.7559543555805,-3.26727665009415
360000000,32.7881258991116,-2.88178587341041
361000000,32.8804286821611,-2.55150678039666
362000000,32.8549029817547,-2.22782110366406
363000000,32.908186017669,-1.87729016607164
364000000,32.9547168208143,-1.45277613589292
365000000,33.0348785402541,-1.18502143287114
366000000,33.040843494497,-0.887765109531114
367000000,33.0495165364784,-0.517091589770521
368000000,33.0483647033427,-0.168806363007505
369000000,33.0872905287191,0.231835984125871
370000000,33.1686884983571,0.550551564447048
371000000,33.1447922777477,0.859286504294254
372000000,33.1798498013347,1.23815734256332
373000000,33.2478314443324,1.56825685782489
374000000,33.3232335144733,1.90598885923793
375000000,33.357879517157,2.17618475991721
376000000,33.3942077082406,2.48835905081198
377000000,33.3805737894278,2.83578697423631
378000000,33.4386369861786,3.09524774187821
379000000,33.4428102419896,3.42398572792243
380000000,33.4471898379391,3.75336726332121
381000000,33.4762182546474,4.11367537443266
382000000,33.5228910120392,4.43862863176062
383000000,33.5315412810499,4.76535090126262
384000000,33.5739888822887,5.13177233820352
385000000,33.6182106287182,5.49666720312426
386000000,33.6526687345669,5.7928782537485
387000000,33.6721981165688,6.15705229774936
388000000,33.7029989543252,6.41051798861546
389000000,33.7297528190205,6.80731269589885
390000000,33.7719512874941,7.1043740212974
391000000,33.7991126931957,7.51088470660509
392000000,33.8873429940429,7.8190651546605
393000000,33.8847221059983,8.17191820318322
394000000,33.9412706387786,8.5338148127018
395000000,34.0215648043057,8.91115810690852
396000000,34.0643173079747,9.22544157589697
397000000,34.1156824693766,9.52836377972219
398000000,34.117176707787,9.87682399456503
399000000,34.1968120423057,10.1812333693235
400000000,34.2182283129597,10.4978220712605
401000000,34.2562206327821,10.8659589227132
402000000,34.2850841652307,11.2336919470395
403000000,34.353449870248,11.5553354723392
404000000,34.4125803137662,11.9319501193148
405000000,34.4439092123205,12.260263404392
406000000,34.5005602570011,12.6193116101317
407000000,34.5438204900432,13.02678590779
408000000,34.5807889613344,13.3567243064642
409000000,34.6255725061658,13.6909284247284
410000000,34.7542682628261,14.060193804659
411000000,34.8385224020297,14.4446995709515
412000000,34.8563495139204,14.780921388496
413000000,34.9514555663836,15.1063889119709
414000000,35.0132627276308,15.5030315601282
415000000,35.1209015264454,15.801628055405
416000000,35.1918158149273,16.1745526170647
417000000,35.2754170851576,16.5243428448902
418000000,35.4497794564396,16.8632396464483
419000000,35.4657031265426,17.1936719051997
420000000,35.5665025907154,17.5476474275378
421000000,35.5917548163587,17.8657059656199
422000000,35.6699334326374,18.2947274592054
423000000,35.7618006878094,18.605730873198
424000000,35.8477609993466,18.9366050112774
425000000,35.8787274510106,19.2891463891999
426000000,36.0259441170823,19.6993027898148
427000000,36.1091447275594,19.9703599641337
428000000,36.1405236382142,20.4029217477369
429000000,36.1679306030269,20.7299955106769
430000000,36.2650530740524,21.1795153215285
431000000,36.4308636412307,21.5622871739611
432000000,36.4812495566257,21.8899226228672
433000000,36.5983793316263,22.2298029194223
434000000,36.7330079217997,22.6840055972524
435000000,36.8632020919872,22.9693322588161
